filename, score
113.989062_30.781059_180_0, 50
114.174332_30.549057_270_0, 30
113.989659_30.704715_90_0, 10
114.123712_30.583778_0_0, 30
114.037924_30.631241_0_0, 30
114.226767_30.426722_270_0, 0
114.130461_30.642054_0_0, 80
114.172219_30.541374_0_0, 40
114.223480_30.649756_180_0, 80
114.191638_30.531181_180_0, 70
114.240434_30.549818_180_0, 70
114.124113_30.612455_180_0, 50
114.208409_30.692680_270_0, 40
114.220010_30.476491_0_0, 40
114.210967_30.417733_90_0, 20
114.199253_30.588709_270_0, 70
114.178428_30.674979_180_0, 60
114.203476_30.432822_270_0, 40
114.216254_30.572776_90_0, 50
114.137274_30.703234_0_0, 30
114.137461_30.621856_270_0, 70
114.127963_30.617069_270_0, 70
114.107606_30.687468_90_0, 20
114.044642_30.805239_180_0, 20
114.214096_30.663466_90_0, 70
114.218390_30.658791_180_0, 60
114.230725_30.497865_0_0, 30
114.143007_30.617784_180_0, 60
114.174022_30.583220_270_0, 20
114.193174_30.581913_180_0, 30
114.097963_30.618001_270_0, 30
114.201654_30.594896_0_0, 70
114.223083_30.476098_180_0, 30
114.240475_30.681026_270_0, 30
114.221007_30.597509_180_0, 80
113.988702_30.743016_180_0, 30
114.126330_30.612557_180_0, 40
114.119142_30.635872_90_0, 30
114.072292_30.632973_180_0, 60
114.170067_30.689723_180_0, 40
114.133319_30.618282_90_0, 40
114.056826_30.586885_0_0, 30
114.210594_30.562051_180_0, 70
114.166153_30.582263_180_0, 50
114.124168_30.625840_0_0, 70
114.224393_30.508362_0_0, 30
114.228165_30.497847_0_0, 0
114.078519_30.598485_0_0, 30
114.102818_30.595948_270_0, 20
114.202304_30.623607_90_0, 60
114.025341_30.642048_270_0, 70
114.214516_30.565521_270_0, 80
114.238428_30.606958_270_0, 70
114.232692_30.552235_0_0, 60
114.221240_30.445323_90_0, 30
114.040803_30.766363_90_0, 55
114.165673_30.565599_180_0, 63
114.220009_30.427196_180_0, 27
114.144280_30.557010_180_0, 57
114.124713_30.617155_180_0, 70
113.989183_30.703283_180_0, 49
114.147114_30.563537_90_0, 51
114.217581_30.519989_90_0, 33
114.238044_30.607033_0_0, 70
114.118910_30.639561_180_0, 31
114.165681_30.703442_90_0, 27
114.237800_30.633782_0_0, 67
114.021926_30.682499_0_0, 47
114.225213_30.490884_0_0, 60
