filename, score
114.036939_30.630820_180_0, 50
114.204270_30.608869_270_0, 30
114.191000_30.610503_270_0, 60
114.152894_30.618093_180_0, 40
114.186838_30.580566_90_0, 30
114.118610_30.616597_270_0, 50
114.199042_30.596230_0_0, 60
114.200753_30.522166_180_0, 30
114.232481_30.626348_90_0, 60
114.165044_30.710705_90_0, 50
114.210010_30.505009_90_0, 40
114.190858_30.529594_180_0, 30
114.184325_30.522092_180_0, 20
114.117366_30.607983_90_0, 30
113.988719_30.736660_180_0, 40
114.210186_30.590210_90_0, 70
114.008288_30.693087_90_0, 40
113.845340_30.729225_90_0, 60
114.145055_30.581763_0_0, 30
114.223231_30.660742_180_0, 40
114.054746_30.629625_0_0, 40
114.186776_30.586331_180_0, 60
114.185487_30.507671_0_0, 70
114.193756_30.587502_270_0, 40
114.201086_30.624899_180_0, 20
114.196415_30.489504_270_0, 50
114.203512_30.498248_0_0, 60
114.042149_30.724045_270_0, 40
114.139890_30.667962_270_0, 40
114.183445_30.565073_180_0, 50
114.196308_30.641046_0_0, 30
114.239887_30.488676_90_0, 50
113.988911_30.780173_180_0, 40
114.118268_30.642192_270_0, 40
114.131876_30.583437_0_0, 0
114.215853_30.571897_180_0, 30
114.201320_30.573415_270_0, 50
114.137384_30.639782_90_0, 60
114.239157_30.563520_270_0, 60
114.040323_30.742921_90_0, 50
114.123642_30.585578_180_0, 30
114.214138_30.560769_0_0, 40
114.009928_30.692974_270_0, 30
114.020110_30.659996_90_0, 20
114.043252_30.636642_180_0, 30
114.216538_30.514273_90_0, 20
114.210313_30.675480_0_0, 20
114.195563_30.419155_0_0, 10
114.187120_30.590807_0_0, 60
114.090166_30.620775_180_0, 40
114.040399_30.694258_0_0, 42
114.223283_30.499765_180_0, 50
114.230285_30.640087_180_0, 37
114.136319_30.608775_180_0, 36
114.230993_30.498732_180_0, 20
114.147446_30.629069_90_0, 53
114.224514_30.688797_180_0, 40
114.189627_30.566795_0_0, 20
114.044371_30.815256_0_0, 40
114.156825_30.623261_90_0, 10
114.229284_30.511043_270_0, 20
114.087603_30.619253_270_0, 43
114.192939_30.624575_0_0, 60
114.133628_30.613271_0_0, 50
114.234114_30.659956_270_0, 30
114.185722_30.678295_0_0, 43
114.119508_30.616641_180_0, 39
114.190228_30.528740_90_0, 52
114.218390_30.658791_0_0, 47
114.203834_30.596911_180_0, 10
114.220977_30.578336_180_0, 43
114.138576_30.630521_90_0, 30
114.106460_30.689903_270_0, 20
114.222499_30.568663_90_0, 60
114.228017_30.628090_180_0, 39
114.206789_30.536658_270_0, 50
114.170545_30.664477_90_0, 41
114.150505_30.626269_0_0, 70
114.235327_30.606441_270_0, 43
114.227538_30.557327_180_0, 70
114.144313_30.628966_0_0, 50
114.168584_30.611979_90_0, 40
114.225122_30.661502_90_0, 37
114.052331_30.604123_90_0, 33
114.206800_30.525484_180_0, 32
114.174085_30.535765_180_0, 0
114.216742_30.556106_0_0, 60
114.232191_30.500509_90_0, 10
114.111749_30.600182_180_0, 30
113.988812_30.705202_0_0, 20
114.153808_30.719398_0_0, 30
113.988724_30.761131_90_0, 50
114.190188_30.520577_0_0, 45
114.121074_30.598765_0_0, 39
114.129451_30.634120_0_0, 40
114.179488_30.667087_0_0, 27
114.222127_30.479433_180_0, 38
114.235087_30.507390_90_0, 10
114.128896_30.621236_270_0, 43
114.201075_30.429229_180_0, 20
114.181179_30.726867_180_0, 35
114.040462_30.639453_180_0, 44
114.196325_30.531416_180_0, 41
