Time,Provider,Latitude,Longitude,Altitude,VerticalAccuracyMeters,Speed,SpeedAccuracyMetersPerSecond,Accuracy,Bearing,BearingAccuracyDegrees,beautiful,boring,depressing,lively,safety,wealthy,,
2019-12-12 10:09:34:320,gps,30.48184103082239,114.41402903552898,2.74832153,11.67861462,0.60000002,0.84599054,13.86348343,97.80000305,59.43860626,33.00255584716797,62.38848495483398,73.45794677734375,51.94805145263672,45.32370376586914,48.8543586730957,,
2019-12-12 10:09:35:316,gps,30.48186793983755,114.41402357216917,3.90963745,10.79825401,0.91000003,0.81541401,12.93767452,106.09999847,9.29274750,28.540931701660156,63.78736877441406,61.53378677368164,50.31185913085938,49.3349494934082,55.3907356262207,,
2019-12-12 10:09:36:330,gps,30.481878210151155,114.41403297567591,2.65765381,10.04805183,1.37000000,0.16278821,12.05510426,97.90000153,5.32068777,27.918317794799805,61.34466934204102,63.52848815917969,52.03957748413086,41.64124298095703,49.17625427246094,,
2019-12-12 10:09:37:335,gps,30.481878546072103,114.41404827367454,3.83410645,9.28468323,1.73000002,0.14866069,11.07675171,93.00000000,4.04175329,25.790977478027344,61.8312873840332,62.81000137329102,42.7286491394043,45.43380737304688,44.74605178833008,,
2019-12-12 10:09:38:324,gps,30.481879351473555,114.41406590986065,5.12701416,8.29252243,1.30999994,0.40311289,9.79593182,89.09999847,14.57421303,21.67623519897461,56.190147399902344,67.44358825683594,45.510536193847656,49.61667251586914,52.35208129882813,,
2019-12-12 10:09:39:321,gps,30.48188222849985,114.41407968925286,4.18072510,8.12596893,1.46000004,0.42426407,9.54998493,72.69999695,9.60730743,13.907581329345703,55.74493789672852,66.39411163330078,56.18427658081055,50.03005599975586,59.905128479003906,,
2019-12-12 10:09:40:327,gps,30.481886085401317,114.41409488760124,5.36984253,7.35216761,1.47000003,0.83216584,8.59816074,67.00000000,12.48406792,15.66260051727295,65.34420776367189,68.43885040283203,59.626426696777344,48.30311965942383,49.52230834960938,,
2019-12-12 10:09:41:317,gps,30.48189692366117,114.41411220487309,5.77575684,7.00405312,1.71000004,0.86533231,8.15000153,51.00000000,12.61326122,22.65888786315918,61.65392684936523,71.67109680175781,38.52181243896485,30.28510665893555,47.57854461669922,,
2019-12-12 10:09:42:331,gps,30.481911313847082,114.41412610514196,7.59512329,6.58888578,1.74000001,0.83216584,7.73435497,27.79999924,13.09675407,12.28181266784668,63.5792236328125,68.39186096191406,27.655517578125,35.323543548583984,36.73962783813477,,
2019-12-12 10:09:43:321,gps,30.481923496064073,114.41413041279807,8.17904663,6.66883039,1.40999997,0.83216584,7.86947632,4.69999981,13.84540844,25.258695602416992,53.6878776550293,66.50641632080078,32.45990753173828,36.82228469848633,33.94613647460937,,
2019-12-12 10:09:44:324,gps,30.481927527828287,114.41412811496716,7.89889526,6.35694504,0.83999997,0.84059501,7.52952576,347.60000610,14.58160305,16.87999153137207,59.36970138549805,61.87539672851562,47.06167221069336,37.91910934448242,48.99294662475586,,
2019-12-12 10:09:45:333,gps,30.481925068259475,114.41412406795271,9.23492432,6.13127947,0.72000003,0.95718336,7.31244850,332.29998779,15.76106930,19.12961196899414,57.0006103515625,63.86538696289063,47.42453002929688,38.4911994934082,50.21847152709961,,
2019-12-12 10:09:46:322,gps,30.481913854892493,114.41412489631946,10.00308228,6.05156088,0.00000000,0.10000000,7.31655264,0.00000000,0.00000000,20.829357147216797,59.4463996887207,63.87212753295898,47.79872512817383,39.00325393676758,51.60651016235352,,
2019-12-12 10:09:47:314,gps,30.481907761816398,114.41412985186903,10.33361816,6.09310818,0.00000000,0.08602326,7.41336584,0.00000000,0.00000000,20.20370101928711,50.72144317626953,63.74040603637695,47.03686141967773,39.70088577270508,49.027610778808594,,
2019-12-12 10:09:48:317,gps,30.481895536804892,114.41413559625828,10.60183716,6.05606651,0.00000000,0.08602326,7.38192225,0.00000000,0.00000000,19.90221405029297,59.97674560546875,75.34064483642578,54.435707092285156,42.63331985473633,57.47393417358398,,
2019-12-12 10:09:49:327,gps,30.481890475189402,114.4141363152478,10.35144043,6.06560469,0.00000000,0.08602326,7.39580297,0.00000000,0.00000000,22.631309509277344,56.72666549682617,73.97681427001953,53.35837173461914,45.85797500610352,52.10907745361328,,
2019-12-12 10:09:50:316,gps,30.48188363319763,114.41413659442999,10.43945312,5.95072842,0.00000000,0.09219544,7.28175116,0.00000000,0.00000000,22.34868621826172,56.34872055053711,73.26251983642578,54.30659484863281,44.42297744750977,52.66064834594727,,
2019-12-12 10:09:51:321,gps,30.481884373828404,114.41413506570417,10.34469604,5.81974363,0.00000000,0.08602326,7.15518665,0.00000000,0.00000000,19.5524845123291,55.14254379272461,62.59353637695313,45.026458740234375,39.10154342651367,59.87434768676758,,
2019-12-12 10:09:52:321,gps,30.481881853358505,114.41413421615641,10.20379639,5.82929945,0.00000000,0.08602326,7.20684862,0.00000000,0.00000000,16.7844295501709,61.734375,67.87530517578125,42.0429573059082,42.105018615722656,50.99091339111328,,
2019-12-12 10:09:53:325,gps,30.481883365435806,114.41412824101464,11.57467651,5.90906620,0.75999999,0.88204306,7.26320982,319.00000000,27.15544128,13.876775741577148,59.19902420043945,69.97423553466797,42.04727554321289,36.64793014526367,45.74797439575195,,
2019-12-12 10:09:54:323,gps,30.481883158510513,114.41411690995446,11.10296631,5.90565491,1.13999999,1.04446161,7.27582932,307.50000000,28.81038284,12.282577514648438,57.03299331665039,69.61116027832031,58.89145278930664,45.12495040893555,47.81549072265625,,
2019-12-12 10:09:55:312,gps,30.48187599121267,114.41409984280952,11.44451904,6.02519751,1.60000002,0.87664133,7.38804960,274.39999390,23.51714325,19.23175621032715,51.31323623657226,77.64846801757812,47.16107559204102,45.05554580688477,49.36528778076172,,
2019-12-12 10:09:56:323,gps,30.481867554932244,114.41407772951764,12.18646240,5.97299528,1.98000002,1.28362763,7.39064169,259.20001221,24.82779884,28.40809440612793,57.69034957885742,64.86361694335939,44.17490768432617,51.84426498413086,38.831302642822266,,
2019-12-12 10:09:57:324,gps,30.48186206274015,114.41404358592429,13.33569336,5.60367680,3.06999993,1.10276926,6.85602522,256.39999390,19.90961647,22.836301803588867,60.99060821533203,79.87358093261719,50.97135543823242,43.46299743652344,46.44009017944336,,
2019-12-12 10:09:58:321,gps,30.48186628834232,114.41399051796361,13.94519043,5.34861469,4.44000006,0.96020830,6.48508883,276.00000000,4.02357197,32.9880256652832,52.33951950073242,68.55820465087889,48.18489074707031,41.45378875732422,44.57912826538086,,
2019-12-12 10:09:59:299,gps,30.48188464815365,114.41389861139716,15.17944336,5.08990240,6.32999992,0.96213305,6.06189871,275.39999390,2.91098332,28.170757293701172,56.29428100585938,74.037353515625,41.72048568725586,31.22160339355469,40.14111328125,,
2019-12-12 10:10:00:331,gps,30.481886869962384,114.41381854382234,15.28845215,4.94931507,7.46999979,1.00603175,5.89144182,276.50000000,3.11695027,38.41427993774414,50.2981071472168,76.41931915283203,44.28388595581055,31.40250587463379,32.56659698486328,,
2019-12-12 10:10:01:313,gps,30.481883590257823,114.41373726637713,15.21594238,4.79989815,7.84000015,1.23174667,5.85601187,276.79998779,3.36352921,34.46976852416992,58.23270034790039,63.51421737670898,38.92342758178711,36.088661193847656,40.56198501586914,,
2019-12-12 10:10:02:325,gps,30.4818902782911,114.41363542523041,16.13970947,4.67733049,9.03999996,1.04292858,5.63483429,277.60000610,2.64113665,13.72005844116211,56.2363395690918,70.01589965820311,38.93351364135742,41.60265350341797,39.37347030639648,,
2019-12-12 10:10:03:322,gps,30.481886272810183,114.41353381245399,16.24774170,4.67704248,9.02999973,1.02649891,5.62634468,276.60000610,2.44282627,24.49709701538086,56.67605209350586,80.2864990234375,47.008460998535156,31.3456974029541,45.16469192504883,,
2019-12-12 10:10:04:319,gps,30.481891341359002,114.4134242359656,16.75042725,4.51646376,9.64999962,1.08724427,5.45134592,277.79998779,2.42913437,31.289627075195312,59.98999786376953,65.06127166748047,47.35829162597656,41.26705932617188,46.66260528564453,,
2019-12-12 10:10:05:333,gps,30.481890606172833,114.41332120345793,16.66174316,3.86557770,9.73999977,1.01400197,5.59209204,277.70001221,2.34718513,28.151208877563477,52.89638900756836,70.34168243408203,44.84580993652344,48.64500045776367,42.54339599609375,,
2019-12-12 10:10:06:323,gps,30.481905866150434,114.41321323548694,17.37194824,3.95240068,10.18000031,1.17324340,5.40908241,278.70001221,2.58422375,25.347890853881836,61.93063735961914,71.83763885498047,47.47197723388672,49.48203659057617,44.080650329589844,,
