Time,Provider,Latitude,Longitude,Altitude,VerticalAccuracyMeters,Speed,SpeedAccuracyMetersPerSecond,Accuracy,Bearing,BearingAccuracyDegrees,beautiful,boring,depressing,lively,safety,wealthy,
2019-12-29 13:35:13:170,gps,30.505329476651973,114.41311490299023,31.94879150,36.50981140,0.00000000,0.00000000,42.85772705,0.00000000,0.00000000,29.15593910217285,61.90326690673828,50.40447998046875,31.375490188598636,31.95749092102051,35.078929901123054,
2019-12-29 13:35:14:167,gps,30.505432076209395,114.41312160698891,30.87939453,24.48454666,0.00000000,0.00000000,27.92220497,0.00000000,0.00000000,36.570762634277344,64.79038238525389,51.67200469970703,32.40945816040039,30.621152877807614,35.992286682128906,
2019-12-29 13:35:15:158,gps,30.505546060661462,114.413122126558,30.18249512,18.40815735,0.00000000,0.00000000,20.53566170,0.00000000,0.00000000,28.679140090942383,57.22203063964844,45.3961067199707,34.54899215698242,32.204315185546875,32.4830322265625,
2019-12-29 13:35:16:164,gps,30.50565807313227,114.41312867149408,28.45086670,12.18634510,13.60999966,7.89605618,16.49934387,5.59999990,4.89032793,32.98924255371094,58.6347770690918,45.28136825561523,28.339656829833984,29.80672264099121,33.30169677734375,
2019-12-29 13:35:17:166,gps,30.505767185366167,114.41313248819573,27.25634766,11.13978672,13.86999989,7.45697641,13.90254593,4.09999990,4.81112003,36.764930725097656,56.94255828857422,46.98212051391602,35.71438980102539,30.150131225585934,30.629961013793945,
2019-12-29 13:35:18:163,gps,30.50589843200213,114.41314633939271,26.98333740,9.62382507,14.39000034,7.09975338,11.16662788,5.09999990,4.65624475,39.32691192626953,60.46537780761719,49.68887710571289,26.505733489990234,27.68899154663086,30.12336158752441,
2019-12-29 13:35:19:162,gps,30.50603210961127,114.41315922151148,27.16137695,8.53558731,14.68999958,6.74626541,9.42407417,5.40000010,4.56138802,31.565765380859375,59.8505859375,50.08904266357422,36.70672225952149,30.135446548461914,31.24304008483887,
2019-12-29 13:35:20:168,gps,30.50616605764459,114.41317068469934,27.62585449,8.36968613,14.81000042,6.42377615,8.97589684,5.69999981,4.51906443,35.9803352355957,59.6329345703125,46.12398910522461,26.95680046081543,32.641551971435554,31.77838897705078,
2019-12-29 13:35:21:168,gps,30.50629962350107,114.41319099127294,28.83319092,7.88747549,14.60000038,6.11367321,8.32248402,6.30000019,4.54654503,32.71949768066406,60.945960998535156,48.666236877441406,33.062118530273445,32.471954345703125,24.311697006225586,
2019-12-29 13:35:22:172,gps,30.50642789810711,114.41320976850254,27.92510986,6.97695065,14.28999996,5.84452724,7.28738213,6.40000010,4.64441538,27.7374324798584,64.68352508544922,51.06055450439453,36.58100128173828,29.224876403808594,26.0205020904541,
2019-12-29 13:35:23:163,gps,30.50654230934647,114.4132249371937,27.96936035,6.35610008,13.31999969,5.60761070,6.60594034,6.59999990,4.98207951,36.31035614013672,66.51952362060547,44.55371475219727,23.198020935058594,31.46214485168457,24.31418037414551,
2019-12-29 13:35:24:172,gps,30.506645078687487,114.41323316003779,28.19866943,5.76343155,11.77000046,5.39675808,5.97172022,6.69999981,5.63966131,32.88020706176758,60.83559799194336,50.4255256652832,41.98092651367188,31.81476402282715,22.67817306518555,
2019-12-29 13:35:25:160,gps,30.506740833827553,114.41325012574033,28.53570557,5.17385721,10.81000042,5.19954824,5.35107565,7.19999981,6.13514328,28.854656219482422,63.17388916015625,44.40102005004883,27.23465156555176,27.757402420043945,23.887605667114254,
2019-12-29 13:35:26:168,gps,30.506815714793404,114.41325788648379,27.33758545,4.90902138,9.69999981,5.01597452,5.07876444,7.30000019,6.84165478,28.408477783203125,65.41033935546875,42.19202041625977,24.762659072875977,30.23708152770996,18.55776596069336,
2019-12-29 13:35:27:162,gps,30.506892327085797,114.41326229987693,27.24108887,4.63034773,8.64999962,4.84603977,4.79316950,7.50000000,7.67244196,28.272769927978516,61.385154724121094,42.659278869628906,26.559314727783203,30.3616886138916,21.01441764831543,
2019-12-29 13:35:28:169,gps,30.506958282804632,114.41328069188522,27.48693848,4.67955828,7.61999989,4.68479443,4.82902718,8.80000019,8.66089535,28.99742317199707,65.16098785400389,47.18218994140625,25.73246765136719,25.094240188598636,24.85733413696289,
