{ Epoch: 0, Train_mae: 839.5622739438658, Test_mae: 2299.63817857028 },
{ Epoch: 1, Train_mae: 277.22364260826583, Test_mae: 1621.5484222286523 },
{ Epoch: 2, Train_mae: 238.04633602880156, Test_mae: 863.5220861866641 },
{ Epoch: 3, Train_mae: 174.75756270797163, Test_mae: 187.17683548789947 },
{ Epoch: 4, Train_mae: 184.79941888503086, Test_mae: 389.3770931542165 },
{ Epoch: 5, Train_mae: 136.63257448172862, Test_mae: 214.46552493248456 },
{ Epoch: 6, Train_mae: 130.96722638165508, Test_mae: 184.9808586340382 },
{ Epoch: 7, Train_mae: 107.36787970272111, Test_mae: 148.19499941225405 },
{ Epoch: 8, Train_mae: 95.57047387896252, Test_mae: 165.37213492687837 },
{ Epoch: 9, Train_mae: 107.13417196077575, Test_mae: 138.51423594784833 },
{ Epoch: 10, Train_mae: 87.52830784801593, Test_mae: 436.8875863032086 },
{ Epoch: 11, Train_mae: 85.56864929199219, Test_mae: 242.86250725891364 },
{ Epoch: 12, Train_mae: 79.6183087698226, Test_mae: 204.89023128556616 },
{ Epoch: 13, Train_mae: 73.79123139087065, Test_mae: 174.45364995257844 },
{ Epoch: 14, Train_mae: 71.85570036334757, Test_mae: 209.00214753327546 },
{ Epoch: 15, Train_mae: 63.64041123566804, Test_mae: 182.12024214630756 },
{ Epoch: 16, Train_mae: 62.16269336904518, Test_mae: 83.99379055195875 },
{ Epoch: 17, Train_mae: 60.53737649799865, Test_mae: 594.5619022071116 },
{ Epoch: 18, Train_mae: 58.82025606445815, Test_mae: 51.10753289367927 },
{ Epoch: 19, Train_mae: 55.52588509924618, Test_mae: 46.37069045957715 },
{ Epoch: 20, Train_mae: 58.187303221274796, Test_mae: 68.20739956451541 },
{ Epoch: 21, Train_mae: 63.54968597663283, Test_mae: 1840.5803323125642 },
{ Epoch: 22, Train_mae: 48.420617358674725, Test_mae: 55.97889866456083 },
{ Epoch: 23, Train_mae: 46.188053460768714, Test_mae: 256.8083295154964 },
{ Epoch: 24, Train_mae: 57.59313807860323, Test_mae: 265.28138324753246 },
{ Epoch: 25, Train_mae: 55.0078706466612, Test_mae: 188.25318060980902 },
{ Epoch: 26, Train_mae: 48.272847391450355, Test_mae: 30.37998154722614 },
{ Epoch: 27, Train_mae: 44.933332608069904, Test_mae: 44.62071626765247 },
{ Epoch: 28, Train_mae: 49.57711137371299, Test_mae: 226.2535513418692 },
{ Epoch: 29, Train_mae: 38.80586950671035, Test_mae: 332.0177881060314 },
{ Epoch: 30, Train_mae: 51.3637469177874, Test_mae: 621.4524091555749 },
{ Epoch: 31, Train_mae: 48.87650874416524, Test_mae: 194.54199080604585 },
{ Epoch: 32, Train_mae: 45.57743039543246, Test_mae: 95.86253595548402 },
{ Epoch: 33, Train_mae: 39.90070164056472, Test_mae: 33.00728516127347 },
{ Epoch: 34, Train_mae: 44.21195833967546, Test_mae: 60.1409570984389 },
{ Epoch: 35, Train_mae: 37.48932922426074, Test_mae: 50.77789031919629 },
{ Epoch: 36, Train_mae: 36.51920977933907, Test_mae: 106.25854498466838 },
{ Epoch: 37, Train_mae: 39.566144778404706, Test_mae: 109.19406237818086 },
{ Epoch: 38, Train_mae: 37.576082158971715, Test_mae: 27.710399847462345 },
{ Epoch: 39, Train_mae: 37.2226350886341, Test_mae: 60.36173876224722 },
{ Epoch: 40, Train_mae: 36.714429878894194, Test_mae: 53.40768504829564 },
{ Epoch: 41, Train_mae: 36.105915462038645, Test_mae: 343.55222198109567 },
{ Epoch: 42, Train_mae: 34.94579419579526, Test_mae: 36.041117334562074 },
{ Epoch: 43, Train_mae: 31.549857590914755, Test_mae: 99.33428725882322 },
{ Epoch: 44, Train_mae: 36.56523345821679, Test_mae: 195.17731391059027 },
{ Epoch: 45, Train_mae: 33.19545601424857, Test_mae: 45.62972719482924 },
{ Epoch: 46, Train_mae: 42.03980355596346, Test_mae: 37.72400023220988 },
{ Epoch: 47, Train_mae: 31.902687889067725, Test_mae: 36.96497625971037 },
{ Epoch: 48, Train_mae: 31.950009224346147, Test_mae: 117.11850609798981 },
{ Epoch: 49, Train_mae: 29.326241026199405, Test_mae: 29.395898497153702 },
{ Epoch: 50, Train_mae: 32.671928547046804, Test_mae: 78.11712812886807 },
{ Epoch: 51, Train_mae: 30.019990968115536, Test_mae: 35.18977567884657 },
{ Epoch: 52, Train_mae: 33.368447291998216, Test_mae: 112.83502244360653 },
{ Epoch: 53, Train_mae: 31.772610213040323, Test_mae: 61.89691677015014 },
{ Epoch: 54, Train_mae: 31.049166589116854, Test_mae: 30.274016941525808 },
{ Epoch: 55, Train_mae: 28.686196849179368, Test_mae: 67.84513801606104 },
{ Epoch: 56, Train_mae: 26.96395825751034, Test_mae: 22.723557146488393 },
{ Epoch: 57, Train_mae: 29.82272968370728, Test_mae: 59.45896319793576 },
{ Epoch: 58, Train_mae: 28.898008943094638, Test_mae: 26.848989902700417 },
{ Epoch: 59, Train_mae: 24.883388275962798, Test_mae: 113.58576425309043 },
{ Epoch: 60, Train_mae: 31.67405995419977, Test_mae: 58.7538489510493 },
{ Epoch: 61, Train_mae: 24.304155443921502, Test_mae: 33.890753585124706 },
{ Epoch: 62, Train_mae: 26.589438458038455, Test_mae: 21.287012618265035 },
{ Epoch: 63, Train_mae: 27.029774355790252, Test_mae: 22.44562808378243 },
{ Epoch: 64, Train_mae: 24.94063672509213, Test_mae: 33.3645511203342 },
{ Epoch: 65, Train_mae: 27.944166520986048, Test_mae: 19.091777032294882 },
{ Epoch: 66, Train_mae: 25.417133598170654, Test_mae: 40.83086082866653 },
{ Epoch: 67, Train_mae: 24.599466363098397, Test_mae: 40.7372608577273 },
{ Epoch: 68, Train_mae: 27.03090309802397, Test_mae: 36.00400461581509 },
{ Epoch: 69, Train_mae: 23.8465542773651, Test_mae: 109.41993873502001 },
{ Epoch: 70, Train_mae: 23.05951696168248, Test_mae: 27.791002940739133 },
{ Epoch: 71, Train_mae: 25.99984944504475, Test_mae: 48.462361732137545 },
{ Epoch: 72, Train_mae: 23.398251266636475, Test_mae: 23.824473424212922 },
{ Epoch: 73, Train_mae: 23.54018232557509, Test_mae: 18.362720913357204 },
{ Epoch: 74, Train_mae: 23.786810235231503, Test_mae: 38.68703201670706 },
{ Epoch: 75, Train_mae: 23.464121280874245, Test_mae: 35.8628213592027 },
{ Epoch: 76, Train_mae: 21.098820164370437, Test_mae: 95.35445787092296 },
{ Epoch: 77, Train_mae: 22.96330451965332, Test_mae: 33.88085984595028 },
{ Epoch: 78, Train_mae: 23.26023888293608, Test_mae: 21.256636262430575 },
{ Epoch: 79, Train_mae: 22.098441457552184, Test_mae: 18.304005191159348 },
{ Epoch: 80, Train_mae: 21.43857183966617, Test_mae: 21.797461811897687 },
{ Epoch: 81, Train_mae: 21.838991361390416, Test_mae: 34.760910379543226 },
{ Epoch: 82, Train_mae: 20.17066516012812, Test_mae: 29.93800328886558 },
{ Epoch: 83, Train_mae: 19.393550915973176, Test_mae: 14.017144858591841 },
{ Epoch: 84, Train_mae: 20.27725996794524, Test_mae: 30.687659691390678 },
{ Epoch: 85, Train_mae: 19.744833832415043, Test_mae: 19.767757015463747 },
{ Epoch: 86, Train_mae: 20.108214005521294, Test_mae: 29.82858632719566 },
{ Epoch: 87, Train_mae: 20.790505436712824, Test_mae: 32.083601837786134 },
{ Epoch: 88, Train_mae: 20.820918926976837, Test_mae: 42.81667547657656 },
{ Epoch: 89, Train_mae: 17.670166961450146, Test_mae: 18.772195329391415 },
{ Epoch: 90, Train_mae: 19.485191145060973, Test_mae: 14.10816236189854 },
