{ Epoch: 0, Train_mae: 359.91906256781687, Test_mae: 664.8520564778646 },
{ Epoch: 1, Train_mae: 162.45975463867188, Test_mae: 1191.0070600043402 },
{ Epoch: 2, Train_mae: 104.03174184163412, Test_mae: 423.5585820176866 },
{ Epoch: 3, Train_mae: 90.34017876519097, Test_mae: 303.5175245496962 },
{ Epoch: 4, Train_mae: 72.27102569580079, Test_mae: 248.96444390190973 },
{ Epoch: 5, Train_mae: 72.96509819878472, Test_mae: 137.0750528801812 },
{ Epoch: 6, Train_mae: 57.10893961588542, Test_mae: 93.32756337483724 },
{ Epoch: 7, Train_mae: 55.45894148084852, Test_mae: 172.43868620130752 },
{ Epoch: 8, Train_mae: 50.57907004462348, Test_mae: 117.08234361436632 },
{ Epoch: 9, Train_mae: 47.509641596476236, Test_mae: 106.4690171983507 },
{ Epoch: 10, Train_mae: 48.83467325846354, Test_mae: 229.65258816189237 },
{ Epoch: 11, Train_mae: 45.73127787272136, Test_mae: 48.5457223171658 },
{ Epoch: 12, Train_mae: 46.62089314778646, Test_mae: 95.13939927842883 },
{ Epoch: 13, Train_mae: 44.07049475775825, Test_mae: 53.32765368991428 },
{ Epoch: 14, Train_mae: 41.66976845635308, Test_mae: 166.74704094780816 },
{ Epoch: 15, Train_mae: 40.454095119900174, Test_mae: 75.87091118706597 },
{ Epoch: 16, Train_mae: 40.8819899919298, Test_mae: 42.447607337103946 },
{ Epoch: 17, Train_mae: 35.16934824625651, Test_mae: 64.26275105794271 },
{ Epoch: 18, Train_mae: 35.223975626627606, Test_mae: 87.70332509358724 },
{ Epoch: 19, Train_mae: 35.742673865424266, Test_mae: 97.57672478569879 },
{ Epoch: 20, Train_mae: 31.577449561225045, Test_mae: 128.5883983018663 },
{ Epoch: 21, Train_mae: 32.023026648627386, Test_mae: 32.63442554050022 },
{ Epoch: 22, Train_mae: 32.228294898139104, Test_mae: 95.5049363538954 },
{ Epoch: 23, Train_mae: 29.748019527859157, Test_mae: 342.54649658203124 },
{ Epoch: 24, Train_mae: 29.277875934176976, Test_mae: 37.49037373860677 },
{ Epoch: 25, Train_mae: 29.036007588704425, Test_mae: 309.28481133355035 },
{ Epoch: 26, Train_mae: 28.396920267740885, Test_mae: 37.15191888597276 },
{ Epoch: 27, Train_mae: 27.058316633436416, Test_mae: 46.107401589287655 },
{ Epoch: 28, Train_mae: 24.364618191189237, Test_mae: 32.859869944254555 },
{ Epoch: 29, Train_mae: 26.197781236436633, Test_mae: 57.43501966688368 },
{ Epoch: 30, Train_mae: 22.075041334364148, Test_mae: 61.552105301751034 },
{ Epoch: 31, Train_mae: 23.211417694091796, Test_mae: 34.204383019341364 },
{ Epoch: 32, Train_mae: 21.63021540323893, Test_mae: 24.530434714423286 },
{ Epoch: 33, Train_mae: 22.766411412556966, Test_mae: 45.038771345350476 },
{ Epoch: 34, Train_mae: 21.39590493943956, Test_mae: 33.28817840576172 },
{ Epoch: 35, Train_mae: 18.65514651828342, Test_mae: 245.95301445855034 },
{ Epoch: 36, Train_mae: 21.891577979193794, Test_mae: 74.85218566894531 },
{ Epoch: 37, Train_mae: 18.599558529324003, Test_mae: 95.01777011447483 },
{ Epoch: 38, Train_mae: 18.663995853000216, Test_mae: 224.30002468532987 },
{ Epoch: 39, Train_mae: 18.85778062608507, Test_mae: 215.26391574435763 },
{ Epoch: 40, Train_mae: 17.487356228298612, Test_mae: 26.8947096157074 },
{ Epoch: 41, Train_mae: 17.35076400756836, Test_mae: 92.76903288099501 },
{ Epoch: 42, Train_mae: 16.813584247165256, Test_mae: 27.356795747545032 },
{ Epoch: 43, Train_mae: 16.61676560295953, Test_mae: 36.20330290052626 },
{ Epoch: 44, Train_mae: 16.798528832329644, Test_mae: 52.53256401909722 },
{ Epoch: 45, Train_mae: 16.53884834289551, Test_mae: 72.15215043809678 },
{ Epoch: 46, Train_mae: 16.386546698676216, Test_mae: 92.56218977186415 },
{ Epoch: 47, Train_mae: 15.815761358473036, Test_mae: 146.73967400444877 },
{ Epoch: 48, Train_mae: 14.894532154930962, Test_mae: 16.599339294433594 },
{ Epoch: 49, Train_mae: 15.443566097683377, Test_mae: 48.05960384792752 },
{ Epoch: 50, Train_mae: 14.583139953613282, Test_mae: 40.12130866156684 },
{ Epoch: 51, Train_mae: 15.148547356923421, Test_mae: 20.517270940144858 },
