filename, score
114.040434_30.693356_270_0, 70
114.183160_30.523566_0_0, 70
114.120075_30.627757_270_0, 50
114.116039_30.625503_90_0, 40
114.123600_30.587381_270_0, 50
114.047229_30.657060_270_0, 40
114.140528_30.650544_270_0, 30
114.180378_30.581262_0_0, 65
114.215487_30.556416_90_0, 50
114.151740_30.672828_180_0, 60
114.146324_30.617759_0_0, 20
114.206137_30.677271_270_0, 40
113.991240_30.703765_0_0, 70
114.079912_30.629687_90_0, 70
114.199956_30.548379_0_0, 30
114.228352_30.585316_270_0, 50
114.177535_30.618664_0_0, 40
114.107236_30.688289_270_0, 60
114.160484_30.583681_90_0, 30
114.106855_30.699300_90_0, 70
114.220112_30.584831_90_0, 30
114.185487_30.507671_0_0, 30
114.135496_30.620479_270_0, 40
114.042136_30.725857_0_0, 80
114.124433_30.621882_180_0, 30
114.147346_30.617996_0_0, 40
114.225448_30.658961_90_0, 40
114.222926_30.567773_180_0, 30
113.994404_30.691189_180_0, 60
114.090620_30.621703_90_0, 30
114.235581_30.629779_90_0, 40
114.203437_30.512515_0_0, 40
114.207164_30.566617_180_0, 20
114.195556_30.418924_0_0, 30
114.170016_30.547643_180_0, 30
114.052733_30.615909_180_0, 60
114.155538_30.677634_0_0, 60
114.136408_30.629187_180_0, 40
114.204846_30.636288_270_0, 50
114.072235_30.621967_90_0, 40
114.230667_30.605960_0_0, 30
114.217347_30.565602_0_0, 40
114.199793_30.514450_180_0, 40
114.195032_30.566450_270_0, 30
114.163807_30.646944_270_0, 10
114.189050_30.536265_0_0, 30
114.226591_30.616313_180_0, 50
114.197533_30.586427_270_0, 30
114.239224_30.563608_270_0, 30
114.222220_30.489852_90_0, 60
114.221389_30.547074_180_0, 30
114.235510_30.452265_180_0, 10
114.175955_30.642723_90_0, 10
114.207654_30.536390_90_0, 60
114.221616_30.445758_90_0, 30
114.204492_30.511640_90_0, 50
114.223193_30.516963_270_0, 60
114.205768_30.511050_0_0, 48
114.040590_30.740219_0_0, 90
114.010607_30.691604_180_0, 70
114.203141_30.530120_180_0, 30
114.145755_30.599197_270_0, 20
114.165586_30.579486_270_0, 10
114.142682_30.655125_180_0, 38
114.195216_30.729506_0_0, 80
114.221616_30.445758_0_0, 51
114.206799_30.563311_90_0, 50
114.037821_30.680188_0_0, 80
114.211866_30.440797_90_0, 10
114.216948_30.573549_0_0, 50
114.228768_30.448479_270_0, 10
114.203374_30.608989_180_0, 20
114.141843_30.716811_90_0, 80
114.074841_30.631884_90_0, 80
114.116095_30.582526_0_0, 70
114.040875_30.617575_0_0, 60
114.180313_30.677949_180_0, 70
114.204414_30.543111_90_0, 20
114.178149_30.514672_0_0, 10
114.209962_30.524287_270_0, 60
114.179482_30.591885_90_0, 50
114.213819_30.582119_90_0, 50
114.231764_30.642860_270_0, 43
114.132959_30.707471_0_0, 80
114.074825_30.621002_270_0, 40
114.212839_30.568282_90_0, 20
114.217422_30.531601_0_0, 70
114.026480_30.653590_270_0, 60
114.169071_30.589441_0_0, 10
114.158415_30.559653_180_0, 43
114.159793_30.588755_270_0, 10
114.204729_30.549847_180_0, 27
114.170561_30.574611_90_0, 33
114.174822_30.725661_90_0, 70
114.166918_30.584299_0_0, 10
114.186847_30.670275_270_0, 20
114.225358_30.624402_180_0, 41
114.056009_30.586420_270_0, 60
114.149793_30.716663_180_0, 60
114.237119_30.627972_180_0, 50
114.223063_30.489323_270_0, 50
114.172369_30.641453_270_0, 20
114.208087_30.556908_90_0, 10
114.226660_30.618495_270_0, 33
114.060397_30.639271_270_0, 50
114.053046_30.624379_90_0, 30
113.988692_30.746648_0_0, 50
114.052714_30.595988_90_0, 50
114.182003_30.589677_90_0, 50
114.122260_30.625811_0_0, 70
114.203437_30.512515_270_0, 60
114.065679_30.635786_270_0, 60
114.198172_30.534893_90_0, 20
114.210422_30.562089_270_0, 20
114.198841_30.540958_90_0, 0
114.163119_30.603655_0_0, 20
114.219735_30.583549_270_0, 20
114.185187_30.538577_90_0, 30
114.214522_30.596617_270_0, 40
114.182725_30.600992_270_0, 10
114.101519_30.697724_90_0, 60
114.165012_30.575836_90_0, 20
114.234114_30.659956_270_0, 30
114.215725_30.504722_90_0, 60
114.211931_30.490681_90_0, 70
113.823311_30.738506_270_0, 60
114.156051_30.632690_0_0, 52
114.192763_30.532757_90_0, 60
114.150138_30.621022_270_0, 40
114.040590_30.740219_90_0, 60
114.223397_30.524286_90_0, 80
114.200794_30.595349_90_0, 38
114.159601_30.633961_0_0, 70
114.146157_30.609176_180_0, 33
114.188811_30.566361_0_0, 32
114.219114_30.606034_0_0, 46
114.147678_30.625975_90_0, 10
114.044335_30.667485_0_0, 70
114.133730_30.611705_270_0, 41
114.199853_30.564912_0_0, 38
114.230455_30.640977_90_0, 43
114.239583_30.592237_90_0, 20
113.988740_30.764757_90_0, 30
114.060669_30.683180_270_0, 50
114.192789_30.599434_270_0, 40
114.108049_30.600286_90_0, 70
114.239205_30.601885_90_0, 60
114.211566_30.515312_270_0, 50
114.234195_30.686644_270_0, 80
114.076344_30.687556_270_0, 58
114.231358_30.577471_180_0, 34
114.237584_30.584678_180_0, 34
114.214885_30.505057_90_0, 44
114.183929_30.678180_180_0, 56
114.221739_30.578853_0_0, 39
114.113540_30.661351_270_0, 44
114.045561_30.662211_180_0, 70
114.136319_30.608775_270_0, 38
114.053355_30.620407_90_0, 60
114.232173_30.577078_180_0, 46
114.209454_30.508554_180_0, 50
114.233347_30.448697_90_0, 10
114.207202_30.554065_0_0, 38
114.225893_30.553079_270_0, 31
114.168195_30.552932_90_0, 43
114.159636_30.560327_90_0, 50
114.153268_30.633055_270_0, 60
114.238444_30.514273_180_0, 60
114.203159_30.646256_0_0, 60
114.061480_30.626634_270_0, 50
113.974237_30.711592_180_0, 46
114.182232_30.514967_180_0, 44
114.156554_30.539260_180_0, 10
114.033261_30.679336_90_0, 85
114.205172_30.608747_270_0, 10
114.166445_30.598669_90_0, 80
114.168172_30.605797_0_0, 70
114.080214_30.597772_90_0, 70
114.236314_30.572937_90_0, 60
114.165339_30.566749_180_0, 28
114.125755_30.616849_180_0, 30
114.204741_30.589046_180_0, 43
114.229558_30.587596_0_0, 49
114.183444_30.545036_270_0, 50
114.232685_30.538289_0_0, 80
114.052275_30.611374_0_0, 70
114.121899_30.703318_90_0, 70
114.203091_30.530034_90_0, 39
114.159028_30.638780_180_0, 41
114.226262_30.487326_180_0, 35
114.044881_30.664835_180_0, 70
114.170061_30.546909_90_0, 10
114.169572_30.582821_0_0, 30
114.196443_30.618154_180_0, 60
114.173770_30.536726_180_0, 33
114.131637_30.712488_90_0, 80
114.156329_30.558279_270_0, 10
114.237578_30.602736_180_0, 42
114.181283_30.526114_0_0, 36
114.141939_30.617551_180_0, 22
