filename, score
113.951982_30.718696_180_0, 50
114.005527_30.674763_0_0, 40
114.101620_30.600484_90_0, 60
114.175967_30.642722_0_0, 80
114.211463_30.564844_90_0, 60
114.150050_30.622796_270_0, 50
114.212101_30.442762_180_0, 50
114.032838_30.647173_270_0, 60
114.206329_30.592498_0_0, 70
114.107709_30.625369_180_0, 40
114.208690_30.504610_180_0, 50
114.240491_30.683318_0_0, 40
114.193035_30.409060_180_0, 50
114.174432_30.595045_180_0, 30
114.151120_30.657070_180_0, 40
114.159994_30.578792_270_0, 70
114.058009_30.682615_0_0, 60
113.993101_30.693620_90_0, 70
114.202881_30.496602_0_0, 70
114.131740_30.596920_90_0, 40
114.169976_30.648718_270_0, 50
114.125330_30.608459_180_0, 80
114.170564_30.641320_270_0, 60
114.120260_30.630641_270_0, 30
114.068177_30.634671_90_0, 50
114.216960_30.527500_0_0, 40
114.231037_30.639283_90_0, 30
114.150583_30.692049_180_0, 60
114.217402_30.586039_0_0, 40
114.119902_30.625696_180_0, 30
114.179515_30.516701_0_0, 70
114.182895_30.604606_90_0, 30
114.037286_30.642666_180_0, 60
114.196722_30.669777_270_0, 50
114.194477_30.641286_270_0, 30
114.240738_30.623225_180_0, 40
114.077358_30.630837_270_0, 50
114.151487_30.626283_180_0, 40
114.189038_30.400848_180_0, 60
114.155566_30.591753_0_0, 20
114.227969_30.552650_90_0, 20
114.145863_30.620872_0_0, 70
114.181216_30.599499_270_0, 40
114.169491_30.549378_180_0, 60
114.019612_30.647962_90_0, 20
114.144313_30.628966_270_0, 50
114.182638_30.668842_270_0, 70
114.146202_30.558863_180_0, 70
114.160142_30.600506_90_0, 60
114.231598_30.441502_180_0, 70
114.180313_30.677949_90_0, 70
114.189870_30.528878_0_0, 57
114.099758_30.697142_90_0, 70
114.168756_30.568467_270_0, 60
114.027643_30.679656_0_0, 40
114.156238_30.633682_180_0, 40
114.028445_30.679232_270_0, 50
114.237800_30.633782_0_0, 44
114.107815_30.616835_180_0, 57
114.214366_30.494779_180_0, 70
114.185105_30.638127_0_0, 41
114.153545_30.575857_90_0, 80
114.141536_30.558140_0_0, 46
114.168417_30.724120_180_0, 48
114.171282_30.646098_180_0, 80
114.039966_30.746530_180_0, 80
114.069857_30.633918_90_0, 60
114.226817_30.581948_270_0, 70
114.138959_30.597075_180_0, 60
114.104154_30.698545_0_0, 60
114.208536_30.573516_90_0, 40
114.150108_30.657935_90_0, 50
114.041110_30.638797_270_0, 50
114.138409_30.608853_270_0, 70
114.202984_30.588288_270_0, 30
114.172922_30.539127_180_0, 70
114.121928_30.599979_180_0, 50
114.125095_30.736414_0_0, 60
114.165242_30.572857_90_0, 62
114.181064_30.576148_90_0, 59
114.241327_30.622501_90_0, 50
114.217084_30.423568_270_0, 60
114.227643_30.585939_90_0, 60
114.177590_30.726203_90_0, 40
114.171493_30.641293_180_0, 70
114.203455_30.591033_180_0, 40
114.043828_30.670140_0_0, 70
114.157086_30.622161_270_0, 50
114.039923_30.748373_90_0, 40
114.202360_30.600518_180_0, 60
114.153522_30.629289_90_0, 40
114.212071_30.598637_90_0, 70
114.191103_30.600308_270_0, 70
114.159933_30.682323_270_0, 40
114.184418_30.539048_270_0, 60
114.142921_30.617597_0_0, 40
113.941247_30.719918_270_0, 30
114.203000_30.569312_180_0, 60
114.207285_30.569765_270_0, 70
114.209611_30.414085_90_0, 30
114.240037_30.680224_270_0, 40
114.211208_30.598970_270_0, 52
114.052024_30.646353_90_0, 54
114.049168_30.680710_180_0, 53
114.189320_30.583475_90_0, 47
114.140424_30.684623_180_0, 39
114.185057_30.596515_180_0, 46
114.189123_30.610745_180_0, 55
114.176053_30.680409_0_0, 50
114.211122_30.631045_270_0, 70
114.139770_30.632074_90_0, 47
114.159724_30.552790_180_0, 80
114.045487_30.634408_90_0, 80
114.214918_30.650145_180_0, 60
114.086284_30.602067_270_0, 40
113.958195_30.717328_90_0, 40
114.134143_30.608691_270_0, 80
114.122691_30.677902_180_0, 70
114.152680_30.575623_180_0, 63
114.136225_30.629222_0_0, 70
114.211533_30.624815_90_0, 70
114.173317_30.537374_0_0, 54
114.209708_30.542249_90_0, 59
114.183141_30.394261_180_0, 52
114.082555_30.614210_180_0, 30
114.008060_30.672198_0_0, 30
114.166053_30.561041_180_0, 70
114.225738_30.581048_0_0, 40
114.168599_30.691982_180_0, 70
114.125358_30.737356_180_0, 40
114.162252_30.616659_0_0, 70
114.203816_30.565618_270_0, 40
114.102446_30.693528_0_0, 70
114.202381_30.601413_0_0, 70
114.120211_30.625795_0_0, 70
114.157004_30.602248_0_0, 70
114.160991_30.600833_180_0, 70
114.194981_30.710960_90_0, 70
114.202208_30.528465_180_0, 70
114.160933_30.569476_0_0, 60
114.076649_30.620577_0_0, 80
114.195914_30.577652_0_0, 80
114.111056_30.594608_270_0, 30
114.225507_30.656364_90_0, 50
114.048224_30.654540_0_0, 40
114.226146_30.552958_90_0, 30
114.187976_30.566025_270_0, 70
114.190683_30.685550_270_0, 70
114.104451_30.691718_180_0, 80
114.069857_30.633918_0_0, 70
114.220811_30.615562_270_0, 70
114.159189_30.560217_270_0, 70
114.119358_30.594993_180_0, 30
114.167175_30.697228_270_0, 70
114.177431_30.641572_90_0, 80
114.207076_30.571858_180_0, 70
113.986355_30.706505_90_0, 70
113.996741_30.687242_90_0, 70
114.129994_30.711701_0_0, 60
114.223920_30.433730_180_0, 70
114.233842_30.443795_270_0, 70
114.201259_30.544804_0_0, 70
114.198568_30.565071_0_0, 70
114.151697_30.675210_0_0, 40
114.186618_30.678352_180_0, 40
114.164593_30.677968_270_0, 30
114.126330_30.612557_90_0, 40
114.206750_30.565612_270_0, 70
113.988722_30.735734_0_0, 70
114.235738_30.629863_0_0, 70
114.166745_30.698990_0_0, 40
114.231761_30.514381_90_0, 70
114.189875_30.510198_270_0, 70
114.074206_30.616095_180_0, 50
114.098498_30.626462_270_0, 70
114.190025_30.528822_270_0, 70
114.194706_30.517595_90_0, 80
114.218401_30.556765_0_0, 60
114.179380_30.671147_270_0, 60
114.195701_30.517343_270_0, 60
114.190757_30.520042_180_0, 50
114.146359_30.673876_270_0, 70
114.166941_30.664489_0_0, 70
114.197522_30.586410_0_0, 60
114.042089_30.679918_270_0, 60
114.146489_30.612392_0_0, 70
114.198357_30.523639_270_0, 80
114.178517_30.677834_0_0, 50
114.046455_30.614684_90_0, 63
114.139258_30.613157_0_0, 52
114.215069_30.658438_0_0, 66
114.142871_30.552967_180_0, 65
114.199573_30.551649_270_0, 90
114.145942_30.697668_270_0, 80
114.138347_30.650549_270_0, 80
114.212552_30.522522_180_0, 62
114.039851_30.749306_90_0, 52
114.044692_30.803390_180_0, 40
114.233239_30.653764_180_0, 60
114.220342_30.555356_90_0, 30
114.221040_30.597540_90_0, 40
114.210951_30.547361_270_0, 40
114.238014_30.513373_90_0, 70
114.150291_30.619135_270_0, 40
114.162540_30.583594_90_0, 70
114.040584_30.764621_90_0, 40
114.217931_30.503059_0_0, 70
114.032206_30.647815_90_0, 36
114.229558_30.587596_270_0, 70
114.229809_30.592566_90_0, 80
114.196551_30.516444_90_0, 70
114.209308_30.631487_90_0, 60
114.199758_30.564779_270_0, 55
114.160149_30.721413_270_0, 44
114.167060_30.556534_180_0, 63
114.166830_30.549521_180_0, 80
114.124342_30.733796_90_0, 45
114.166787_30.623468_180_0, 67
114.144405_30.557261_180_0, 70
114.040839_30.638697_180_0, 60
114.011360_30.691085_180_0, 55
114.079864_30.629783_180_0, 62
114.082612_30.613277_180_0, 70
114.201654_30.594896_270_0, 55
114.200978_30.730589_270_0, 50
114.018212_30.661918_90_0, 90
114.128563_30.633958_0_0, 40
114.223568_30.551963_90_0, 47
114.164205_30.661707_180_0, 80
114.054433_30.627724_180_0, 62
114.114703_30.673957_180_0, 43
114.224221_30.498813_0_0, 68
114.214506_30.550086_180_0, 45
114.241161_30.460886_180_0, 70
114.187218_30.524383_90_0, 67
114.231907_30.586486_0_0, 57
114.217315_30.519620_90_0, 65
114.185495_30.523492_180_0, 63
114.040679_30.739314_270_0, 50
114.218007_30.502870_90_0, 65
114.146324_30.574424_270_0, 90
114.187950_30.605135_0_0, 52
114.226409_30.493482_270_0, 80
114.213749_30.691152_0_0, 30
114.167198_30.585403_180_0, 90
114.168195_30.552932_180_0, 90
114.124238_30.624851_270_0, 50
114.104154_30.698545_180_0, 45
114.194851_30.582657_0_0, 48
114.042443_30.637456_0_0, 51
114.193008_30.610243_270_0, 40
114.213119_30.418536_0_0, 61
114.050616_30.612880_0_0, 60
114.134726_30.591677_270_0, 56
114.222316_30.578893_270_0, 64
114.224917_30.549026_90_0, 56
114.147789_30.594801_180_0, 80
114.122924_30.612398_270_0, 90
114.139951_30.696538_0_0, 36
114.196381_30.569875_90_0, 56
114.182119_30.678064_270_0, 72
114.196769_30.565910_0_0, 70
114.166029_30.584619_270_0, 57
114.169537_30.616659_90_0, 67
114.115746_30.671584_0_0, 30
114.150597_30.617878_0_0, 50
114.157764_30.599190_90_0, 70
114.234847_30.641496_0_0, 48
114.014252_30.688907_0_0, 49
114.176142_30.548537_270_0, 41
114.240718_30.623249_180_0, 70
114.237800_30.633782_90_0, 70
114.236283_30.543682_0_0, 70
114.106796_30.625450_180_0, 48
114.206632_30.410310_180_0, 55
114.230940_30.505188_180_0, 68
114.146162_30.674838_180_0, 54
114.091696_30.618760_90_0, 70
114.195003_30.415157_0_0, 70
114.153724_30.675023_270_0, 50
114.154072_30.581429_180_0, 53
114.131322_30.711645_0_0, 50
114.173432_30.545635_180_0, 70
113.991985_30.792508_270_0, 80
114.072932_30.686356_90_0, 70
114.146144_30.558733_270_0, 52
114.239924_30.575671_270_0, 56
114.195152_30.416069_90_0, 80
114.165089_30.574924_90_0, 80
114.216673_30.690522_0_0, 57
114.044371_30.815256_90_0, 68
114.071740_30.602919_0_0, 54
114.169112_30.589198_270_0, 64
114.197889_30.539389_90_0, 40
114.157964_30.538931_90_0, 80
114.192500_30.593516_0_0, 80
114.181977_30.579704_0_0, 80
114.196043_30.418508_90_0, 70
114.135462_30.579402_90_0, 63
114.155252_30.597981_270_0, 70
114.165989_30.593268_0_0, 69
113.950927_30.718882_90_0, 56
114.136343_30.613015_0_0, 50
114.128540_30.626095_270_0, 40
