filename, score
114.041259_30.735764_0_0, 50
114.167261_30.610628_0_0, 40
114.137809_30.617342_0_0, 40
114.120697_30.617605_180_0, 30
114.041637_30.732164_180_0, 40
114.186618_30.678352_180_0, 20
114.216966_30.672630_180_0, 30
114.169100_30.590504_180_0, 50
114.191363_30.534872_270_0, 70
114.181764_30.683043_90_0, 20
114.237820_30.574400_90_0, 10
114.220245_30.601282_180_0, 50
114.161008_30.560404_90_0, 30
113.992007_30.703289_90_0, 40
114.090037_30.622622_180_0, 30
114.203834_30.596911_270_0, 20
114.105791_30.690507_270_0, 20
114.192346_30.577370_270_0, 30
114.220342_30.555356_180_0, 40
114.228245_30.447468_90_0, 20
114.147542_30.629012_0_0, 30
114.227113_30.582747_180_0, 40
114.166918_30.584299_180_0, 40
114.240670_30.513745_0_0, 50
114.163956_30.660819_0_0, 30
114.240693_30.513779_90_0, 50
114.129799_30.595089_270_0, 30
114.185734_30.531261_90_0, 40
114.065601_30.619113_180_0, 20
114.142664_30.657841_90_0, 20
114.117810_30.643932_270_0, 10
114.199189_30.588745_270_0, 20
114.142683_30.646683_180_0, 30
114.196308_30.641046_180_0, 20
114.127552_30.723752_180_0, 40
114.231141_30.519975_90_0, 40
114.146332_30.614673_0_0, 50
114.131965_30.608608_180_0, 40
114.209774_30.565910_90_0, 70
114.229309_30.636334_270_0, 40
114.230725_30.497865_270_0, 20
114.195645_30.624692_180_0, 40
114.063203_30.604430_90_0, 40
114.196015_30.624271_0_0, 30
114.224263_30.570274_180_0, 40
114.119588_30.631332_270_0, 10
114.233676_30.605777_180_0, 70
114.124998_30.616868_90_0, 50
114.221352_30.578323_270_0, 60
114.133410_30.617180_180_0, 40
113.988761_30.721202_90_0, 20
114.206592_30.434166_180_0, 10
114.200298_30.586000_90_0, 30
114.072361_30.632837_90_0, 40
114.148146_30.574864_90_0, 40
114.195068_30.709777_90_0, 30
114.086053_30.627883_270_0, 40
114.228455_30.513444_90_0, 30
114.220436_30.577405_180_0, 50
114.169294_30.655101_90_0, 50
114.039656_30.751967_270_0, 30
114.185540_30.523478_180_0, 27
113.983041_30.708056_0_0, 37
114.043075_30.782664_0_0, 38
114.053046_30.624379_0_0, 30
114.085325_30.595738_270_0, 29
114.222478_30.657792_270_0, 60
114.167505_30.610518_90_0, 60
114.205172_30.608747_270_0, 27
114.202080_30.536229_270_0, 60
114.041357_30.684376_90_0, 28
114.126108_30.595929_180_0, 10
114.144273_30.609099_0_0, 30
114.044197_30.821689_180_0, 35
114.089852_30.595401_0_0, 23
114.198902_30.535552_180_0, 60
114.042130_30.723137_270_0, 24
114.207975_30.608371_270_0, 49
114.228017_30.628090_90_0, 60
114.199877_30.514533_0_0, 41
114.193529_30.594995_0_0, 36
114.171596_30.564800_0_0, 60
114.203265_30.495898_90_0, 33
114.214911_30.657453_180_0, 60
114.124492_30.677858_0_0, 10
113.894230_30.721095_270_0, 30
114.040857_30.737522_90_0, 30
114.213769_30.597982_270_0, 40
114.229103_30.626480_90_0, 60
114.210639_30.565669_270_0, 60
114.146324_30.617759_0_0, 50
114.129235_30.615394_90_0, 60
114.229987_30.569968_180_0, 10
114.097158_30.613638_270_0, 30
114.222211_30.656413_270_0, 60
114.124848_30.616638_0_0, 30
114.051712_30.589631_180_0, 40
114.090814_30.614359_180_0, 40
114.231080_30.565251_0_0, 33
114.127958_30.617136_90_0, 40
113.915750_30.718316_180_0, 27
114.187519_30.508797_90_0, 60
114.159782_30.559903_90_0, 29
114.120339_30.623903_0_0, 32
113.988736_30.763845_180_0, 33
114.048033_30.626479_90_0, 29
113.988772_30.772004_0_0, 30
114.231939_30.659093_270_0, 60
114.138413_30.701711_0_0, 50
114.155381_30.559227_0_0, 40
114.150105_30.622840_90_0, 60
114.235177_30.636262_180_0, 60
114.239965_30.500647_90_0, 20
114.169113_30.589193_180_0, 36
114.138400_30.607936_0_0, 40
114.186544_30.530794_270_0, 40
114.218150_30.555758_0_0, 80
114.203088_30.569599_270_0, 40
114.236192_30.453305_180_0, 30
114.210967_30.417733_90_0, 20
114.223671_30.579796_0_0, 50
114.211867_30.568431_270_0, 42
114.093487_30.618542_180_0, 38
114.217137_30.559900_180_0, 60
114.080556_30.689196_0_0, 25
114.165892_30.562875_90_0, 27
114.202354_30.618165_0_0, 23
114.177054_30.564636_90_0, 70
114.041301_30.733027_270_0, 22
114.200385_30.531598_90_0, 20
114.067581_30.625081_270_0, 40
114.191616_30.685827_270_0, 30
114.166918_30.584299_270_0, 40
114.228864_30.578824_180_0, 42
114.200740_30.564567_0_0, 52
114.055355_30.682061_0_0, 24
113.988712_30.739366_180_0, 44
114.159870_30.645863_180_0, 47
114.204577_30.532639_270_0, 53
114.223193_30.516963_0_0, 30
114.218931_30.475055_90_0, 43
114.200796_30.586768_90_0, 60
114.179345_30.602777_180_0, 40
114.119465_30.632224_0_0, 20
114.137770_30.555901_270_0, 40
114.198517_30.669676_270_0, 39
114.206922_30.554143_90_0, 60
114.180276_30.667534_90_0, 32
114.192763_30.532757_0_0, 60
