{ Epoch: 0, Train_mae: 712.1002284210292, Test_mae: 1409.854398982817 },
{ Epoch: 1, Train_mae: 210.36833199612437, Test_mae: 1131.7920620910122 },
{ Epoch: 2, Train_mae: 154.1272176106771, Test_mae: 680.8746426574186 },
{ Epoch: 3, Train_mae: 130.636028039829, Test_mae: 549.9230864869903 },
{ Epoch: 4, Train_mae: 109.22088383949041, Test_mae: 507.23588192496885 },
{ Epoch: 5, Train_mae: 110.71048398574872, Test_mae: 395.9093839205228 },
{ Epoch: 6, Train_mae: 89.871906986943, Test_mae: 193.09822078172297 },
{ Epoch: 7, Train_mae: 70.2882147460242, Test_mae: 1339.9020992615963 },
{ Epoch: 8, Train_mae: 75.90801452028106, Test_mae: 127.98616151728181 },
{ Epoch: 9, Train_mae: 66.59512150864995, Test_mae: 857.6961706438635 },
{ Epoch: 10, Train_mae: 71.23471932261758, Test_mae: 90.47031502574258 },
{ Epoch: 11, Train_mae: 56.54172936463967, Test_mae: 120.1415771745209 },
{ Epoch: 12, Train_mae: 60.29244147406684, Test_mae: 262.9335353231838 },
{ Epoch: 13, Train_mae: 54.79856318829746, Test_mae: 228.27946976447038 },
{ Epoch: 14, Train_mae: 57.726178324120674, Test_mae: 129.3795485102553 },
{ Epoch: 15, Train_mae: 52.03051947460555, Test_mae: 179.46751125585658 },
{ Epoch: 16, Train_mae: 40.41832274521178, Test_mae: 106.46154917746867 },
{ Epoch: 17, Train_mae: 44.993856163785665, Test_mae: 56.76868332213486 },
{ Epoch: 18, Train_mae: 44.23675594710217, Test_mae: 62.6067375769982 },
{ Epoch: 19, Train_mae: 38.795339383291044, Test_mae: 31.035140013083435 },
{ Epoch: 20, Train_mae: 39.94103507778244, Test_mae: 841.2859837893408 },
{ Epoch: 21, Train_mae: 37.41172720428206, Test_mae: 159.83429020286624 },
{ Epoch: 22, Train_mae: 36.17431862877305, Test_mae: 53.17467035798945 },
{ Epoch: 23, Train_mae: 38.85793463117377, Test_mae: 163.09874784029446 },
{ Epoch: 24, Train_mae: 32.14823940744427, Test_mae: 63.93645905497407 },
{ Epoch: 25, Train_mae: 37.772381410299886, Test_mae: 35.05005540331544 },
{ Epoch: 26, Train_mae: 33.403086719349915, Test_mae: 44.81344311053936 },
{ Epoch: 27, Train_mae: 33.13028442078506, Test_mae: 91.74086344140207 },
{ Epoch: 28, Train_mae: 29.038533463437332, Test_mae: 433.0899715586605 },
{ Epoch: 29, Train_mae: 30.714081397423378, Test_mae: 342.9238049107739 },
{ Epoch: 30, Train_mae: 30.833599025367672, Test_mae: 315.4836241458556 },
{ Epoch: 31, Train_mae: 29.473467585028406, Test_mae: 76.23040430226557 },
{ Epoch: 32, Train_mae: 23.937248594061263, Test_mae: 197.99967343583066 },
{ Epoch: 33, Train_mae: 27.52023747979406, Test_mae: 70.83724151785218 },
{ Epoch: 34, Train_mae: 26.294020775036934, Test_mae: 163.78500935698506 },
{ Epoch: 35, Train_mae: 24.722264955526065, Test_mae: 35.16805959087491 },
{ Epoch: 36, Train_mae: 25.959277780646953, Test_mae: 62.690708975506645 },
{ Epoch: 37, Train_mae: 22.989110634197875, Test_mae: 60.76455464594045 },
{ Epoch: 38, Train_mae: 24.927630465254826, Test_mae: 118.26629495213174 },
{ Epoch: 39, Train_mae: 20.213965375199276, Test_mae: 86.14395050309662 },
{ Epoch: 40, Train_mae: 21.875614486868226, Test_mae: 42.824494625428464 },
{ Epoch: 41, Train_mae: 23.03233903629488, Test_mae: 76.8174307407477 },
{ Epoch: 42, Train_mae: 20.57888152184989, Test_mae: 69.22725747045968 },
{ Epoch: 43, Train_mae: 20.658941475414483, Test_mae: 206.11809881052739 },
{ Epoch: 44, Train_mae: 20.480710369229655, Test_mae: 407.4033854340556 },
{ Epoch: 45, Train_mae: 21.252772689884544, Test_mae: 51.319662001737505 },
{ Epoch: 46, Train_mae: 18.714615069223605, Test_mae: 111.34154353997646 },
{ Epoch: 47, Train_mae: 18.087853282265513, Test_mae: 261.1193370330028 },
{ Epoch: 48, Train_mae: 19.462104783778177, Test_mae: 73.36941230534828 },
{ Epoch: 49, Train_mae: 15.958482220641567, Test_mae: 17.04502679004289 },
{ Epoch: 50, Train_mae: 17.557028353384077, Test_mae: 24.11390662668777 },
{ Epoch: 51, Train_mae: 17.47389821109609, Test_mae: 238.3077522125679 },
{ Epoch: 52, Train_mae: 16.297311076411493, Test_mae: 46.69243838101031 },
{ Epoch: 53, Train_mae: 15.549384179617944, Test_mae: 66.40278425515547 },
{ Epoch: 54, Train_mae: 15.939997053553915, Test_mae: 35.40662738332721 },
{ Epoch: 55, Train_mae: 15.072347757823108, Test_mae: 90.0738962070215 },
{ Epoch: 56, Train_mae: 15.241210154997997, Test_mae: 283.9000682341747 },
{ Epoch: 57, Train_mae: 15.60972171359592, Test_mae: 170.65753186869824 },
{ Epoch: 58, Train_mae: 13.46407599870296, Test_mae: 32.652244274432846 },
{ Epoch: 59, Train_mae: 14.126790228732292, Test_mae: 27.025004873248587 },
{ Epoch: 60, Train_mae: 14.817544149197744, Test_mae: 351.57645435822315 },
{ Epoch: 61, Train_mae: 14.581526780739809, Test_mae: 64.85752967551902 },
{ Epoch: 62, Train_mae: 13.777230029092555, Test_mae: 34.22267066107856 },
{ Epoch: 63, Train_mae: 12.253138903539066, Test_mae: 15.3960327735314 },
{ Epoch: 64, Train_mae: 12.892034258937564, Test_mae: 116.99666202034366 },
{ Epoch: 65, Train_mae: 14.362211787123286, Test_mae: 25.227294682777167 },
{ Epoch: 66, Train_mae: 12.205668327135918, Test_mae: 21.69693287689122 },
{ Epoch: 67, Train_mae: 12.799815612640815, Test_mae: 29.680306872071704 },
{ Epoch: 68, Train_mae: 12.424659249449727, Test_mae: 199.99701436360678 },
{ Epoch: 69, Train_mae: 12.956388829440472, Test_mae: 27.757231481394538 },
{ Epoch: 70, Train_mae: 12.92965287700338, Test_mae: 33.40352603445026 },
{ Epoch: 71, Train_mae: 10.898980724845517, Test_mae: 41.010811667157036 },
{ Epoch: 72, Train_mae: 12.718358863113274, Test_mae: 98.26804845217626 },
{ Epoch: 73, Train_mae: 13.3932760570124, Test_mae: 124.9919666388096 },
{ Epoch: 74, Train_mae: 11.771663144103481, Test_mae: 34.93655106416794 },
{ Epoch: 75, Train_mae: 12.452110896422992, Test_mae: 14.062805865904544 },
{ Epoch: 76, Train_mae: 11.255448341369629, Test_mae: 54.89766077981715 },
{ Epoch: 77, Train_mae: 10.738410653551759, Test_mae: 24.056673799824512 },
{ Epoch: 78, Train_mae: 11.704942939627884, Test_mae: 130.96326444359588 },
{ Epoch: 79, Train_mae: 11.719052684273136, Test_mae: 90.47043618313607 },
{ Epoch: 80, Train_mae: 11.427026949716769, Test_mae: 66.49029567099025 },
{ Epoch: 81, Train_mae: 11.603337444131531, Test_mae: 19.731706064990444 },
{ Epoch: 82, Train_mae: 10.60503404024999, Test_mae: 13.88698811816354 },
{ Epoch: 83, Train_mae: 11.013930116963182, Test_mae: 17.938198018957067 },
