{ Epoch: 0, Train_mae: 529.6833010525173, Test_mae: 1561.5600444878473 },
{ Epoch: 1, Train_mae: 239.78028198242188, Test_mae: 477.1049441189236 },
{ Epoch: 2, Train_mae: 178.02847188313802, Test_mae: 623.3323841688368 },
{ Epoch: 3, Train_mae: 136.92298787434896, Test_mae: 819.5978984917534 },
{ Epoch: 4, Train_mae: 115.69319814046224, Test_mae: 702.590641547309 },
{ Epoch: 5, Train_mae: 99.20184190538194, Test_mae: 277.59710205078125 },
{ Epoch: 6, Train_mae: 85.47344870673285, Test_mae: 270.2883439805773 },
{ Epoch: 7, Train_mae: 84.52268039279514, Test_mae: 137.1226806640625 },
{ Epoch: 8, Train_mae: 70.33693454318576, Test_mae: 371.6333076985677 },
{ Epoch: 9, Train_mae: 76.9998890516493, Test_mae: 274.1854317220052 },
{ Epoch: 10, Train_mae: 69.24828996446398, Test_mae: 324.4814172363281 },
{ Epoch: 11, Train_mae: 62.81030219184028, Test_mae: 138.1173715549045 },
{ Epoch: 12, Train_mae: 60.15092603895399, Test_mae: 70.98229413350423 },
{ Epoch: 13, Train_mae: 54.46310262044271, Test_mae: 146.00581515842015 },
{ Epoch: 14, Train_mae: 56.99831556532118, Test_mae: 76.23535352918837 },
{ Epoch: 15, Train_mae: 55.150880381266276, Test_mae: 73.99749979654948 },
{ Epoch: 16, Train_mae: 54.59205742730035, Test_mae: 58.93022145483229 },
{ Epoch: 17, Train_mae: 54.30112158881293, Test_mae: 226.61269483778213 },
{ Epoch: 18, Train_mae: 50.91037078857422, Test_mae: 116.06579013400608 },
{ Epoch: 19, Train_mae: 47.68983340793186, Test_mae: 90.83435775756836 },
{ Epoch: 20, Train_mae: 48.707699110243055, Test_mae: 86.66028393215603 },
{ Epoch: 21, Train_mae: 48.61970408121745, Test_mae: 94.18517300923665 },
{ Epoch: 22, Train_mae: 45.294332394070096, Test_mae: 49.57798336452908 },
{ Epoch: 23, Train_mae: 43.733035244411894, Test_mae: 98.51755399068196 },
{ Epoch: 24, Train_mae: 42.39014634874132, Test_mae: 169.54330274793836 },
{ Epoch: 25, Train_mae: 40.46274888780382, Test_mae: 103.76789243062338 },
{ Epoch: 26, Train_mae: 41.8420093621148, Test_mae: 99.90461995442708 },
{ Epoch: 27, Train_mae: 40.03978234185113, Test_mae: 65.16558378431532 },
{ Epoch: 28, Train_mae: 41.375211503770615, Test_mae: 78.19824503580729 },
{ Epoch: 29, Train_mae: 41.408648817274305, Test_mae: 66.39288380940755 },
{ Epoch: 30, Train_mae: 40.541434928046336, Test_mae: 54.36608517116971 },
{ Epoch: 31, Train_mae: 40.09706849839952, Test_mae: 88.75047241210937 },
{ Epoch: 32, Train_mae: 35.40506076388889, Test_mae: 53.957364824083115 },
{ Epoch: 33, Train_mae: 35.58335493299696, Test_mae: 144.08816318088108 },
{ Epoch: 34, Train_mae: 34.93820041232639, Test_mae: 68.70816212972005 },
{ Epoch: 35, Train_mae: 33.91227508544922, Test_mae: 85.09094312879775 },
{ Epoch: 36, Train_mae: 31.60587921142578, Test_mae: 57.15362443712023 },
{ Epoch: 37, Train_mae: 32.88101676093208, Test_mae: 57.75472900390625 },
{ Epoch: 38, Train_mae: 32.0579985555013, Test_mae: 69.08510965983074 },
{ Epoch: 39, Train_mae: 30.749326053195528, Test_mae: 40.728514726426866 },
{ Epoch: 40, Train_mae: 30.88983913845486, Test_mae: 82.55063866509332 },
{ Epoch: 41, Train_mae: 32.35966571384006, Test_mae: 61.321929677327475 },
{ Epoch: 42, Train_mae: 29.06309041341146, Test_mae: 61.02864427354601 },
{ Epoch: 43, Train_mae: 30.044588894314238, Test_mae: 55.207552676730685 },
{ Epoch: 44, Train_mae: 29.16627207438151, Test_mae: 91.66426971435547 },
{ Epoch: 45, Train_mae: 30.556629655626086, Test_mae: 37.69705657958984 },
{ Epoch: 46, Train_mae: 27.763208685980903, Test_mae: 47.26780251397027 },
{ Epoch: 47, Train_mae: 27.783084784613717, Test_mae: 34.72202256944445 },
{ Epoch: 48, Train_mae: 25.38801501803928, Test_mae: 64.8342808702257 },
{ Epoch: 49, Train_mae: 27.182766918606227, Test_mae: 64.13673149956597 },
{ Epoch: 50, Train_mae: 26.554553697374132, Test_mae: 53.13286251491971 },
{ Epoch: 51, Train_mae: 26.22510668436686, Test_mae: 57.55743903266059 },
{ Epoch: 52, Train_mae: 23.103692660861544, Test_mae: 53.65785634358724 },
{ Epoch: 53, Train_mae: 27.24950941297743, Test_mae: 120.71288689507378 },
{ Epoch: 54, Train_mae: 25.29912840101454, Test_mae: 38.027381049262154 },
{ Epoch: 55, Train_mae: 23.961337165832518, Test_mae: 42.397491726345486 },
{ Epoch: 56, Train_mae: 23.238692525227865, Test_mae: 35.14000830756294 },
{ Epoch: 57, Train_mae: 25.165890935262045, Test_mae: 38.78581587049696 },
{ Epoch: 58, Train_mae: 23.632590764363606, Test_mae: 32.69271599663629 },
{ Epoch: 59, Train_mae: 22.538516421847874, Test_mae: 258.44644938151043 },
{ Epoch: 60, Train_mae: 23.322540876600478, Test_mae: 43.25188508351644 },
{ Epoch: 61, Train_mae: 22.795391862657336, Test_mae: 33.732793986002605 },
{ Epoch: 62, Train_mae: 24.475084431966145, Test_mae: 69.68483376397027 },
{ Epoch: 63, Train_mae: 21.69481729719374, Test_mae: 45.25470940483941 },
{ Epoch: 64, Train_mae: 23.22523306104872, Test_mae: 52.63727906121148 },
{ Epoch: 65, Train_mae: 22.174684927198623, Test_mae: 44.330137736002605 },
{ Epoch: 66, Train_mae: 21.806187252468533, Test_mae: 57.377097574869794 },
{ Epoch: 67, Train_mae: 21.100102979871963, Test_mae: 106.42226718478733 },
{ Epoch: 68, Train_mae: 21.96687249077691, Test_mae: 122.01875610351563 },
{ Epoch: 69, Train_mae: 21.281559261745876, Test_mae: 92.31446516248914 },
{ Epoch: 70, Train_mae: 20.369836065504288, Test_mae: 40.67910993787977 },
{ Epoch: 71, Train_mae: 20.520517713758682, Test_mae: 77.94694330003526 },
{ Epoch: 72, Train_mae: 21.283751864963108, Test_mae: 52.16395924886068 },
{ Epoch: 73, Train_mae: 20.840543840196396, Test_mae: 34.51513676961263 },
{ Epoch: 74, Train_mae: 21.445318688286676, Test_mae: 51.363634490966795 },
{ Epoch: 75, Train_mae: 18.109445351494685, Test_mae: 37.33078169928657 },
{ Epoch: 76, Train_mae: 19.09047415839301, Test_mae: 51.61229482014974 },
{ Epoch: 77, Train_mae: 18.413199810451932, Test_mae: 32.39826877170139 },
{ Epoch: 78, Train_mae: 19.49527621799045, Test_mae: 41.974761454264325 },
{ Epoch: 79, Train_mae: 19.300323825412327, Test_mae: 59.172435743543836 },
{ Epoch: 80, Train_mae: 19.653598056369358, Test_mae: 42.86467269897461 },
{ Epoch: 81, Train_mae: 19.047456537882486, Test_mae: 57.12553883870443 },
{ Epoch: 82, Train_mae: 18.90236981285943, Test_mae: 33.26113852606879 },
{ Epoch: 83, Train_mae: 19.253336130777996, Test_mae: 79.55724667019314 },
{ Epoch: 84, Train_mae: 17.84960188123915, Test_mae: 36.19888320922851 },
{ Epoch: 85, Train_mae: 17.498316514756944, Test_mae: 48.447426588270396 },
{ Epoch: 86, Train_mae: 19.020302208794487, Test_mae: 67.49901407877604 },
{ Epoch: 87, Train_mae: 16.526964509752062, Test_mae: 33.25369904412164 },
{ Epoch: 88, Train_mae: 17.550510592990452, Test_mae: 41.92705376519097 },
{ Epoch: 89, Train_mae: 16.78873516506619, Test_mae: 32.15695933024089 },
{ Epoch: 90, Train_mae: 18.170367668999567, Test_mae: 65.8705148824056 },
{ Epoch: 91, Train_mae: 16.268001963297525, Test_mae: 37.35756243387858 },
{ Epoch: 92, Train_mae: 17.529959971110028, Test_mae: 43.978877834743926 },
{ Epoch: 93, Train_mae: 16.208080702887642, Test_mae: 30.54593522813585 },
{ Epoch: 94, Train_mae: 18.52899275885688, Test_mae: 105.83279235839844 },
{ Epoch: 95, Train_mae: 17.017065234714085, Test_mae: 36.75312013414171 },
{ Epoch: 96, Train_mae: 17.05919713338216, Test_mae: 37.99179178873698 },
{ Epoch: 97, Train_mae: 16.275912068684896, Test_mae: 67.01306328667535 },
{ Epoch: 98, Train_mae: 16.609764094882543, Test_mae: 32.92545121934679 },
{ Epoch: 99, Train_mae: 16.206545537312824, Test_mae: 32.98283889770508 },
{ Epoch: 100, Train_mae: 16.891446872287325, Test_mae: 30.30794135199653 },
{ Epoch: 101, Train_mae: 15.271249855889215, Test_mae: 41.25655948215061 },
{ Epoch: 102, Train_mae: 16.430819363064238, Test_mae: 33.84699001736111 },
{ Epoch: 103, Train_mae: 16.400537113613552, Test_mae: 53.444038933648 },
{ Epoch: 104, Train_mae: 14.60983272128635, Test_mae: 35.38017062717014 },
