{ Epoch: 0, Train_mae: 512.8263000695883, Test_mae: 853.8050783464428 },
{ Epoch: 1, Train_mae: 187.2687613558607, Test_mae: 1382.9552896028204 },
{ Epoch: 2, Train_mae: 128.32254437470382, Test_mae: 1303.113946685445 },
{ Epoch: 3, Train_mae: 97.0617875771728, Test_mae: 1170.7532950680272 },
{ Epoch: 4, Train_mae: 83.90798202826052, Test_mae: 928.4468628760097 },
{ Epoch: 5, Train_mae: 63.41218825532736, Test_mae: 118.58520189488556 },
{ Epoch: 6, Train_mae: 70.10493608505007, Test_mae: 120.68234263309816 },
{ Epoch: 7, Train_mae: 61.280972573762575, Test_mae: 204.46329614202452 },
{ Epoch: 8, Train_mae: 55.302015101287914, Test_mae: 276.11650261911404 },
{ Epoch: 9, Train_mae: 56.66965031353524, Test_mae: 516.3253355134372 },
{ Epoch: 10, Train_mae: 54.97565361593856, Test_mae: 462.4534495520213 },
{ Epoch: 11, Train_mae: 55.83231980027525, Test_mae: 83.71837747448426 },
{ Epoch: 12, Train_mae: 43.85318638462058, Test_mae: 131.46067737397692 },
{ Epoch: 13, Train_mae: 50.076703302984605, Test_mae: 737.9807906723887 },
{ Epoch: 14, Train_mae: 42.02133405343746, Test_mae: 81.69794144057363 },
{ Epoch: 15, Train_mae: 44.819874510473134, Test_mae: 119.83059957076092 },
{ Epoch: 16, Train_mae: 46.677023310239626, Test_mae: 172.07776993040054 },
{ Epoch: 17, Train_mae: 39.708454071529324, Test_mae: 339.46254759634974 },
{ Epoch: 18, Train_mae: 39.274593500323306, Test_mae: 97.21745727608263 },
{ Epoch: 19, Train_mae: 43.020676857219534, Test_mae: 99.15093862658996 },
{ Epoch: 20, Train_mae: 39.04414597768632, Test_mae: 290.53431760480885 },
{ Epoch: 21, Train_mae: 37.897550829413795, Test_mae: 84.83290352680785 },
{ Epoch: 22, Train_mae: 36.32963276125677, Test_mae: 46.41457671427132 },
{ Epoch: 23, Train_mae: 35.934464746592, Test_mae: 152.27202234246562 },
{ Epoch: 24, Train_mae: 33.973122529702394, Test_mae: 57.625096889850504 },
{ Epoch: 25, Train_mae: 35.35578032686056, Test_mae: 59.12636465820866 },
